epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.2156,0,37.5372,0,0,0,0,0,0,3.44531,0,0,0,0
2,1.40186,0,37.6792,0,0,0,0,0,0,3.44531,0,1.802e-05,1.802e-05,1.802e-05
3,1.57289,0,37.6981,0,0,0,0,0,0,3.44531,0,3.208e-05,3.208e-05,3.208e-05
4,1.74298,0,37.7428,0,0,0,0,0,0,3.44531,0,4.218e-05,4.218e-05,4.218e-05
5,1.90077,0,37.6671,0,0,0,0,0,0,3.44531,0,4.832e-05,4.832e-05,4.832e-05
6,2.05776,0,37.757,0,0,0,0,0,0,3.44531,0,5.05e-05,5.05e-05,5.05e-05
7,2.21303,0,37.8583,0,0,0,0,0,0,3.44531,0,4.872e-05,4.872e-05,4.872e-05
8,2.41843,0,37.7097,0,0,0,0,0,0,3.44531,0,4.298e-05,4.298e-05,4.298e-05
9,2.66049,0,37.431,0,0,0,0,0,0,3.44531,0,3.328e-05,3.328e-05,3.328e-05
10,2.90415,0,37.1955,0,0,0,0,0,0,3.44531,0,1.962e-05,1.962e-05,1.962e-05
